time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection,gameId_playId,dir_rad,v_x,v_y,v_theta
2018-10-28T20:36:39Z,24,29.95,0,0,0,90.79,163.45,None,31517,Tramon Williams,38,CB,away,1,2018102810,351,left,2018102810_351,2.852740662384731,0,-0,0
2018-10-28T20:36:39Z,24,29.95,0,0,0,90.79,165.55,None,31517,Tramon Williams,38,CB,away,2,2018102810,351,left,2018102810_351,2.8893925766766126,0,-0,0
2018-10-28T20:36:39Z,24,29.95,0,0,0,91.78,165.97,None,31517,Tramon Williams,38,CB,away,3,2018102810,351,left,2018102810_351,2.896722959534989,0,-0,0
2018-10-28T20:36:39Z,24,29.95,0,0,0,91.78,167.37,None,31517,Tramon Williams,38,CB,away,4,2018102810,351,left,2018102810_351,2.9211575690629092,0,-0,0
2018-10-28T20:36:40Z,24,29.94,0,0,0,92.61,168.67,None,31517,Tramon Williams,38,CB,away,5,2018102810,351,left,2018102810_351,2.943846849338835,0,-0,0
2018-10-28T20:36:40Z,24,29.94,0,0,0,92.61,168.92,None,31517,Tramon Williams,38,CB,away,6,2018102810,351,left,2018102810_351,2.9482101724688214,0,-0,0
2018-10-28T20:36:40Z,24,29.94,0,0,0,92.61,169.07,None,31517,Tramon Williams,38,CB,away,7,2018102810,351,left,2018102810_351,2.9508281663468128,0,-0,0
2018-10-28T20:36:40Z,24,29.94,0,0,0,92.61,169.96,None,31517,Tramon Williams,38,CB,away,8,2018102810,351,left,2018102810_351,2.9663615966895627,0,-0,0
2018-10-28T20:36:40Z,23.99,29.94,0,0,0,92.61,170.57,None,31517,Tramon Williams,38,CB,away,9,2018102810,351,left,2018102810_351,2.977008105126728,0,-0,0
2018-10-28T20:36:40Z,23.99,29.94,0,0,0,92.61,171.18,None,31517,Tramon Williams,38,CB,away,10,2018102810,351,left,2018102810_351,2.987654613563893,0,-0,0
2018-10-28T20:36:40Z,23.99,29.94,0,0,0,93.26,172.71,ball_snap,31517,Tramon Williams,38,CB,away,11,2018102810,351,left,2018102810_351,3.014358151119407,0,-0,0
2018-10-28T20:36:40Z,23.99,29.94,0,0,0,93.26,175.85,None,31517,Tramon Williams,38,CB,away,12,2018102810,351,left,2018102810_351,3.069161489632028,0,-0,0
2018-10-28T20:36:40Z,23.99,29.94,0,0,0,93.88,178.83,None,31517,Tramon Williams,38,CB,away,13,2018102810,351,left,2018102810_351,3.12117230134146,0,-0,0
2018-10-28T20:36:40Z,23.99,29.93,0.01,0.21,0,93.88,234.57,None,31517,Tramon Williams,38,CB,away,14,2018102810,351,left,2018102810_351,4.094018826403099,-0.008148243730938934,-0.005797078928323674,0.6183701539815909
2018-10-28T20:36:41Z,23.98,29.93,0.05,0.37,0,93.88,259.88,None,31517,Tramon Williams,38,CB,away,15,2018102810,351,left,2018102810_351,4.535761660082864,-0.04922209527304709,-0.00878551859203972,0.17662732030182599
2018-10-28T20:36:41Z,23.97,29.93,0.14,0.7,0.01,93.88,269.78,None,31517,Tramon Williams,38,CB,away,16,2018102810,351,left,2018102810_351,4.7085492560303015,-0.13999896795744976,-5.375600886940828e-4,0.003839724354388359
2018-10-28T20:36:41Z,23.95,29.93,0.25,0.89,0.02,93.88,271.73,None,31517,Tramon Williams,38,CB,away,17,2018102810,351,left,2018102810_351,4.742583176444192,-0.24988604747337798,0.007547402078377119,-0.030194196059502503
2018-10-28T20:36:41Z,23.91,29.95,0.39,1.03,0.04,93.88,281.38,None,31517,Tramon Williams,38,CB,away,18,2018102810,351,left,2018102810_351,4.9110074492616445,-0.3823326430272933,0.07695290816963508,-0.19861846887695464
2018-10-28T20:36:41Z,23.87,29.95,0.5,0.98,0.04,93.88,281.61,None,31517,Tramon Williams,38,CB,away,19,2018102810,351,left,2018102810_351,4.915021706541231,-0.4897700699809837,0.100624443108135,-0.20263272615654132
